index,type,kendalltau,p-value
240001,DBPedia - TFCG,0.01811411863208545,*
240001,DBPedia - FFCG,0.002996374651903266,!
240001,TFCG - FFCG,0.12064496764752641,*
240002,DBPedia - TFCG,0.018115204301461987,*
240002,DBPedia - FFCG,0.003002619830987876,!
240002,TFCG - FFCG,0.12064512710682601,*
240003,DBPedia - TFCG,0.01810578118174161,*
240003,DBPedia - FFCG,0.00300886487255508,!
240003,TFCG - FFCG,0.12063957881723708,*
240004,DBPedia - TFCG,0.01809635826177739,*
240004,DBPedia - FFCG,0.002999510277282429,!
240004,TFCG - FFCG,0.12064573874720055,*
240005,DBPedia - TFCG,0.018104095479084176,*
240005,DBPedia - FFCG,0.0030057552176153447,!
240005,TFCG - FFCG,0.1206490147566971,*
240006,DBPedia - TFCG,0.018094672780716123,*
240006,DBPedia - FFCG,0.003012000020440581,!
240006,TFCG - FFCG,0.12064346657032368,*
240007,DBPedia - TFCG,0.018085250282088745,*
240007,DBPedia - FFCG,0.003018244685762772,!
240007,TFCG - FFCG,0.12063791847705417,*
240008,DBPedia - TFCG,0.018080930858650042,*
240008,DBPedia - FFCG,0.003011072042015163,!
240008,TFCG - FFCG,0.1206399539291434,*
240009,DBPedia - TFCG,0.01807661152789908,*
240009,DBPedia - FFCG,0.0030038995490029065,!
240009,TFCG - FFCG,0.12064198934863699,*
240010,DBPedia - TFCG,0.018084241625228713,*
240010,DBPedia - FFCG,0.0029945456120138133,!
240010,TFCG - FFCG,0.12063509902831977,*
240011,DBPedia - TFCG,0.01808139012838454,*
240011,DBPedia - FFCG,0.0029954707737800067,!
240011,TFCG - FFCG,0.12063499092206834,*
240012,DBPedia - TFCG,0.01807707093269945,*
240012,DBPedia - FFCG,0.0029908956637107573,!
240012,TFCG - FFCG,0.1206364710256459,*
240013,DBPedia - TFCG,0.018070335984193293,*
240013,DBPedia - FFCG,0.0029971401610584063,!
240013,TFCG - FFCG,0.12063248463274909,*
240014,DBPedia - TFCG,0.01807572462280711,*
240014,DBPedia - FFCG,0.002986831072792998,!
240014,TFCG - FFCG,0.12062677551135587,*
240015,DBPedia - TFCG,0.01808041668131676,*
240015,DBPedia - FFCG,0.002992207044381273,!
240015,TFCG - FFCG,0.12062836029069024,*
240016,DBPedia - TFCG,0.018076097681496556,*
240016,DBPedia - FFCG,0.002982853841073732,!
240016,TFCG - FFCG,0.12063074192320333,*
240017,DBPedia - TFCG,0.018066676391348832,*
240017,DBPedia - FFCG,0.0029809191002087517,!
240017,TFCG - FFCG,0.12063163387514865,*
240018,DBPedia - TFCG,0.01806235763067611,*
240018,DBPedia - FFCG,0.0029871633687309556,!
240018,TFCG - FFCG,0.1206289382279595,*
240019,DBPedia - TFCG,0.018058038962667222,*
240019,DBPedia - FFCG,0.0029852286242536006,!
240019,TFCG - FFCG,0.12062969695924784,*
240020,DBPedia - TFCG,0.018065668441679755,*
240020,DBPedia - FFCG,0.0029914727111003776,!
240020,TFCG - FFCG,0.12063290188713544,*
240021,DBPedia - TFCG,0.018065758941335157,*
240021,DBPedia - FFCG,0.0029977166604791268,!
240021,TFCG - FFCG,0.12063247087864312,*
240022,DBPedia - TFCG,0.01806144037714904,*
240022,DBPedia - FFCG,0.0029883640030587896,!
240022,TFCG - FFCG,0.1206348523776524,*
240023,DBPedia - TFCG,0.018054706313707168,*
240023,DBPedia - FFCG,0.0029910089145033284,!
