simil,paths
0.0,[]
0.0,[]
0.0,[]
0.0,[]
0.0,[]
0.0,[]
0.0,[]
0.0,[]
0.0,[]
0.0,[]
0.12062300020000001,"['http://dbpedia.org/resource/Nutella\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Fill_9080000\n', 'http://dbpedia.org/resource/Hamburger\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#BurgerWrapper\n', 'http://www.ontologydesignpatterns.org/ont/fred/quantifiers.owl#multiple\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#SugaryBeverage\n', 'http://dbpedia.org/resource/Sugar\n']"
0.12062300020000001,"['http://dbpedia.org/resource/Chicago\n', 'http://schema.org/City\n', 'http://dbpedia.org/resource/Los_Angeles\n', 'http://dbpedia.org/resource/Body_worn_video\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#BodyCameraFootage\n', 'http://dbpedia.org/resource/Law\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Label_29030100\n', 'http://www.ontologydesignpatterns.org/ont/fred/quantifiers.owl#multiple\n', 'http://dbpedia.org/resource/Drink\n']"
0.12062300020000001,"['http://dbpedia.org/resource/Drink\n', 'http://www.ontologydesignpatterns.org/ont/fred/quantifiers.owl#multiple\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Year\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Percent\n', 'http://dbpedia.org/resource/Income\n', 'http://dbpedia.org/resource/Drinking_water\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Leap_51032000\n', 'http://dbpedia.org/resource/Drinking_water\n']"
0.12062300020000001,"['http://dbpedia.org/resource/Drink\n', 'http://www.ontologydesignpatterns.org/ont/fred/quantifiers.owl#multiple\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#There\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Disjunct\n', 'http://dbpedia.org/resource/Cheese\n', 'http://dbpedia.org/resource/Milk\n']"
0.12062300020000001,"['http://dbpedia.org/resource/Ice_cream\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#IceCreamOutlet\n', 'http://www.ontologydesignpatterns.org/ont/fred/quantifiers.owl#multiple\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#SugaryBeverage\n', 'http://dbpedia.org/resource/Sugar\n']"
