index,type,kendalltau,p-value
60001,DBPedia - TFCG,0.04297654219008762,*
60001,DBPedia - FFCG,0.04377424456364276,*
60001,TFCG - FFCG,0.14914841206209042,*
60002,DBPedia - TFCG,0.04298664007002992,*
60002,DBPedia - FFCG,0.04376566514975914,*
60002,TFCG - FFCG,0.14913339147104548,*
60003,DBPedia - TFCG,0.042986478014822325,*
60003,DBPedia - FFCG,0.04375708615358058,*
60003,TFCG - FFCG,0.14913269553881062,*
60004,DBPedia - TFCG,0.04299657511410953,*
60004,DBPedia - FFCG,0.04374850757507625,*
60004,TFCG - FFCG,0.14911767622701713,*
60005,DBPedia - TFCG,0.04299641276496416,*
60005,DBPedia - FFCG,0.04375617235912714,*
60005,TFCG - FFCG,0.14911527645719377,*
60006,DBPedia - TFCG,0.04299625042868319,*
60006,DBPedia - FFCG,0.04374759424528191,*
60006,TFCG - FFCG,0.14911458110174333,*
60007,DBPedia - TFCG,0.04300634644066861,*
60007,DBPedia - FFCG,0.04375896002091084,*
60007,TFCG - FFCG,0.1491315555632091,*
60008,DBPedia - TFCG,0.043006183810525594,*
60008,DBPedia - FFCG,0.043770325148916565,*
60008,TFCG - FFCG,0.14912862343380515,*
60009,DBPedia - TFCG,0.04301627904209115,*
60009,DBPedia - FFCG,0.04376996469348314,*
60009,TFCG - FFCG,0.14912667413666192,*
60010,DBPedia - TFCG,0.04302637379999539,*
60010,DBPedia - FFCG,0.043777552987648176,*
60010,TFCG - FFCG,0.14913646368870678,*
60011,DBPedia - TFCG,0.04303646808427189,*
60011,DBPedia - FFCG,0.04378891660581485,*
60011,TFCG - FFCG,0.14915343512926837,*
60012,DBPedia - TFCG,0.043046561894954205,*
60012,DBPedia - FFCG,0.04379139816999632,*
60012,TFCG - FFCG,0.14915545924076298,*
60013,DBPedia - TFCG,0.043035084437864385,*
60013,DBPedia - FFCG,0.043782820784511726,*
60013,TFCG - FFCG,0.1491668094087951,*
60014,DBPedia - TFCG,0.043026323972126516,*
60014,DBPedia - FFCG,0.043785302376795815,*
60014,TFCG - FFCG,0.1491617573266672,*
60015,DBPedia - TFCG,0.043036417193813604,*
60015,DBPedia - FFCG,0.043793157782551426,*
60015,TFCG - FFCG,0.14917237807247385,*
60016,DBPedia - TFCG,0.043035375198092064,*
60016,DBPedia - FFCG,0.0438022203228018,*
60016,TFCG - FFCG,0.14916775443696156,*
60017,DBPedia - TFCG,0.04302913101053391,*
60017,DBPedia - FFCG,0.043793643572276233,*
60017,TFCG - FFCG,0.14917338893747328,*
60018,DBPedia - TFCG,0.04302288718742307,*
60018,DBPedia - FFCG,0.04378506723920497,*
60018,TFCG - FFCG,0.14917902307473746,*
60019,DBPedia - TFCG,0.04303297933048008,*
60019,DBPedia - FFCG,0.04379292178770648,*
60019,TFCG - FFCG,0.14918964220095923,*
60020,DBPedia - TFCG,0.04302150435446744,*
60020,DBPedia - FFCG,0.04379540264596554,*
60020,TFCG - FFCG,0.14918285227327424,*
60021,DBPedia - TFCG,0.043015261226215934,*
60021,DBPedia - FFCG,0.04379179993304784,*
60021,TFCG - FFCG,0.14918411096754422,*
60022,DBPedia - TFCG,0.04302535272118858,*
60022,DBPedia - FFCG,0.04378322452907431,*
60022,TFCG - FFCG,0.14916909426402242,*
60023,DBPedia - TFCG,0.043035443742794846,*
60023,DBPedia - FFCG,0.04378759083217524,*
60023,TFCG - FFCG,0.14917365309831304,*
60024,DBPedia - TFCG,0.043029200661872664,*
60024,DBPedia - FFCG,0.04378398859568026,*
60024,TFCG - FFCG,0.14917491181199954,*
60025,DBPedia - TFCG,0.043039291051658025,*
60025,DBPedia - FFCG,0.043791841844440224,*
60025,TFCG - FFCG,0.14918553053248051,*
60026,DBPedia - TFCG,0.043043765525002754,*
60026,DBPedia - FFCG,0.0437832673292999,*
60026,TFCG - FFCG,0.14917894444392396,*
60027,DBPedia - TFCG,0.04305385502442159,*
60027,DBPedia - FFCG,0.04379112017413127,*
60027,TFCG - FFCG,0.14918956288816074,*
60028,DBPedia - TFCG,0.043058704108551116,*
60028,DBPedia - FFCG,0.043800179739820776,*
60028,TFCG - FFCG,0.14919357856189056,*
60029,DBPedia - TFCG,0.04304994631112454,*
60029,DBPedia - FFCG,0.04379981845173603,*
60029,TFCG - FFCG,0.14919199548933304,*
60030,DBPedia - TFCG,0.04304890416051886,*
60030,DBPedia - FFCG,0.043808877254130726,*
60030,TFCG - FFCG,0.14918737208817187,*
60031,DBPedia - TFCG,0.043047862075231445,*
60031,DBPedia - FFCG,0.043817935539425944,*
60031,TFCG - FFCG,0.14918274903528322,*
60032,DBPedia - TFCG,0.0430476980598946,*
60032,DBPedia - FFCG,0.04382529802079371,*
60032,TFCG - FFCG,0.14918094099064372,*
60033,DBPedia - TFCG,0.04304665606497978,*
60033,DBPedia - FFCG,0.04383879360681272,*
60033,TFCG - FFCG,0.14917403583591468,*
60034,DBPedia - TFCG,0.043040414323365556,*
60034,DBPedia - FFCG,0.043830219771225636,*
60034,TFCG - FFCG,0.14917967007239274,*
60035,DBPedia - TFCG,0.04303417294592778,*
60035,DBPedia - FFCG,0.04382985767364932,*
60035,TFCG - FFCG,0.1491785257372427,*
60036,DBPedia - TFCG,0.043044259963805266,*
60036,DBPedia - FFCG,0.04383891408010302,*
60036,TFCG - FFCG,0.14919047277580882,*
60037,DBPedia - TFCG,0.04305434650865018,*
60037,DBPedia - FFCG,0.04384327699468514,*
60037,TFCG - FFCG,0.14919502767573842,*
60038,DBPedia - TFCG,0.04306443258049604,*
60038,DBPedia - FFCG,0.0438523324945911,*
60038,TFCG - FFCG,0.14920697341487224,*
60039,DBPedia - TFCG,0.04305296242869615,*
60039,DBPedia - FFCG,0.043851969807050695,*
60039,TFCG - FFCG,0.14920499546250987,*
60040,DBPedia - TFCG,0.04305192040227069,*
60040,DBPedia - FFCG,0.04386102454420576,*
60040,TFCG - FFCG,0.14920037317902193,*
60041,DBPedia - TFCG,0.04306200569736676,*
60041,DBPedia - FFCG,0.04387007876461727,*
60041,TFCG - FFCG,0.14921231801720214,*
60042,DBPedia - TFCG,0.04305576474388067,*
60042,DBPedia - FFCG,0.04386150598002991,*
60042,TFCG - FFCG,0.14921795142036665,*
60043,DBPedia - TFCG,0.04305472269971707,*
60043,DBPedia - FFCG,0.043870559697536615,*
60043,TFCG - FFCG,0.14921332960543607,*
60044,DBPedia - TFCG,0.04303802821230029,*
60044,DBPedia - FFCG,0.04387019652212972,*
60044,TFCG - FFCG,0.1492081041587691,*
