,percentile,type,kendalltau,p-value,size
0,0.05,DBPedia - TFCG,-0.006854051948078405,0.10582677829158181,41385
1,0.05,DBPedia - FFCG,0.002785128936612683,0.5039216679299203,41385
2,0.05,TFCG - FFCG,0.10055920632403004,2.2498552321026428e-172,41385
3,0.1,DBPedia - TFCG,-0.08677110069407769,6.397907426697768e-139,55491
4,0.1,DBPedia - FFCG,0.046755453213597586,5.9237439969485985e-43,55491
5,0.1,TFCG - FFCG,0.09428168750465434,3.9360887193369897e-202,55491
6,0.15,DBPedia - TFCG,-0.06833188247055931,4.632436926871015e-145,83088
7,0.15,DBPedia - FFCG,-0.06166127032260065,1.5590005631617925e-124,83088
8,0.15,TFCG - FFCG,0.14585116208929133,0.0,83088
9,0.2,DBPedia - TFCG,-0.09073878036002678,0.0,108935
10,0.2,DBPedia - FFCG,-0.09098409706695149,0.0,108935
11,0.2,TFCG - FFCG,0.11247200885335859,0.0,108935
12,0.25,DBPedia - TFCG,-0.012645044902037297,2.0307825695102748e-10,138606
13,0.25,DBPedia - FFCG,-0.04038755502695859,1.310587228383069e-97,138606
14,0.25,TFCG - FFCG,0.08972450804709442,0.0,138606
15,0.3,DBPedia - TFCG,0.025429584950504285,2.8532165828825817e-45,166373
16,0.3,DBPedia - FFCG,-0.027576335001554268,7.753677685717215e-56,166373
17,0.3,TFCG - FFCG,0.091950041440096,0.0,166373
18,0.35,DBPedia - TFCG,0.025429584950504285,2.8532165828825817e-45,166373
19,0.35,DBPedia - FFCG,-0.027576335001554268,7.753677685717215e-56,166373
20,0.35,TFCG - FFCG,0.091950041440096,0.0,166373
21,0.4,DBPedia - TFCG,0.002037905064958759,0.2139857894661642,201574
22,0.4,DBPedia - FFCG,-0.01819748033188487,3.41174671460409e-30,201574
23,0.4,TFCG - FFCG,0.08143614107919725,0.0,201574
24,0.45,DBPedia - TFCG,0.002037905064958759,0.2139857894661642,201574
25,0.45,DBPedia - FFCG,-0.01819748033188487,3.41174671460409e-30,201574
26,0.45,TFCG - FFCG,0.08143614107919725,0.0,201574
27,0.5,DBPedia - TFCG,-0.026238374963140697,5.502531844448306e-71,253067
28,0.5,DBPedia - FFCG,0.00044999693892973776,0.7525648733253482,253067
29,0.5,TFCG - FFCG,0.08996820088199661,0.0,253067
30,0.55,DBPedia - TFCG,-0.026238374963140697,5.502531844448306e-71,253067
31,0.55,DBPedia - FFCG,0.00044999693892973776,0.7525648733253482,253067
32,0.55,TFCG - FFCG,0.08996820088199661,0.0,253067
33,0.6,DBPedia - TFCG,-0.026238374963140697,5.502531844448306e-71,253067
34,0.6,DBPedia - FFCG,0.00044999693892973776,0.7525648733253482,253067
35,0.6,TFCG - FFCG,0.08996820088199661,0.0,253067
36,0.65,DBPedia - TFCG,-0.01603638198065554,9.489637619998119e-36,338032
37,0.65,DBPedia - FFCG,0.05890348898850245,0.0,338032
38,0.65,TFCG - FFCG,0.08891846555949767,0.0,338032
39,0.7,DBPedia - TFCG,-0.01603638198065554,9.489637619998119e-36,338032
40,0.7,DBPedia - FFCG,0.05890348898850245,0.0,338032
41,0.7,TFCG - FFCG,0.08891846555949767,0.0,338032
42,0.75,DBPedia - TFCG,-0.01603638198065554,9.489637619998119e-36,338032
43,0.75,DBPedia - FFCG,0.05890348898850245,0.0,338032
44,0.75,TFCG - FFCG,0.08891846555949767,0.0,338032
45,0.8,DBPedia - TFCG,-0.01603638198065554,9.489637619998119e-36,338032
46,0.8,DBPedia - FFCG,0.05890348898850245,0.0,338032
47,0.8,TFCG - FFCG,0.08891846555949767,0.0,338032
48,0.85,DBPedia - TFCG,0.0012047365581707627,0.27275298775477574,471123
49,0.85,DBPedia - FFCG,0.0593042226476958,0.0,471123
50,0.85,TFCG - FFCG,0.08320798921304495,0.0,471123
51,0.9,DBPedia - TFCG,0.0012047365581707627,0.27275298775477574,471123
52,0.9,DBPedia - FFCG,0.0593042226476958,0.0,471123
53,0.9,TFCG - FFCG,0.08320798921304495,0.0,471123
54,0.95,DBPedia - TFCG,0.0012047365581707627,0.27275298775477574,471123
55,0.95,DBPedia - FFCG,0.0593042226476958,0.0,471123
56,0.95,TFCG - FFCG,0.08320798921304495,0.0,471123
57,1.0,DBPedia - TFCG,0.008008562186788344,1.2182316842337565e-15,555976
58,1.0,DBPedia - FFCG,0.07954454671062637,0.0,555976
59,1.0,TFCG - FFCG,0.08994045760722978,0.0,555976
