('fredup:NationMilitaryInstallation', 'fredup:Nation', 'associatedWith')
('fredup:AsHeroin', 'fredup:As', 'hasQuality')
('fredup:KillerDrug', 'fredup:Killer', 'associatedWith')
('fredup:PoliceChief', 'fredup:Police', 'associatedWith')
('fredup:NowCome', 'fredup:Now', 'hasQuality')
('fredup:PoorerMember', 'fredup:Poorer', 'hasQuality')
('fredup:EnoughPledgeDelegate', 'fredup:Pledge', 'hasQuality')
('fredup:PrisonBudget', 'fredup:Prison', 'associatedWith')
('fredup:WealthyForeigner', 'fredup:Wealthy', 'hasQuality')
('fredup:TaxIncrease', 'fredup:Tax', 'associatedWith')
('fredup:MostLawEnforcementOfficer', 'fredup:Enforcement', 'associatedWith')
('fredup:MostLawEnforcementOfficer', 'fredup:Law', 'associatedWith')
('fredup:GasTax', 'fredup:Gas', 'associatedWith')
('fredup:SimpleCosmeticChange', 'fredup:Simple', 'hasQuality')
('fredup:AthleticDirector', 'fredup:Athletic', 'hasQuality')
('fredup:LastMonth', 'fredup:Last', 'hasQuality')
('fredup:StatewidePoll', 'fredup:Statewide', 'hasQuality')
('fredup:LargerMargin', 'fredup:Larger', 'hasQuality')
('fredup:BigNumber', 'fredup:Big', 'hasQuality')
('fredup:EvenShow', 'fredup:Even', 'hasQuality')
('fredup:MoreGirl', 'fredup:More', 'hasQuality')
('fredup:OverallImmigrantApprehension', 'fredup:Immigrant', 'hasQuality')
('fredup:OverallImmigrantApprehension', 'fredup:Overall', 'hasQuality')
('fredup:HealthCarePlan', 'fredup:HealthCare', 'associatedWith')
('fredup:HealthCarePlan', 'fredup:Health', 'associatedWith')
('fredup:TaxBreak', 'fredup:Tax', 'associatedWith')
('fredup:HealthCare', 'fredup:Health', 'associatedWith')
('fredup:FifthHighestTaxBurden', 'fredup:HighestTax', 'associatedWith')
('fredup:FifthHighestTaxBurden', 'fredup:Tax', 'associatedWith')
('fredup:TimeMore', 'fredup:Time', 'associatedWith')
('fredup:CleanWater', 'fredup:Clean', 'hasQuality')
('fredup:PoisonWater', 'fredup:Poison', 'associatedWith')
('fredup:JustCome', 'fredup:Just', 'hasQuality')
('fredup:InaugurationSpeech', 'fredup:Inauguration', 'associatedWith')
('fredup:OwnVoluntaryAgreement', 'fredup:Own', 'hasQuality')
('fredup:HealthCare', 'fredup:Health', 'associatedWith')
('fredup:JobOut', 'fredup:Job', 'associatedWith')
('fredup:FormerStateOfficeholder', 'fredup:State', 'associatedWith')
('fredup:HugeForeignPolicyWin', 'fredup:HugeForeignPolicy', 'associatedWith')
('fredup:HighSchoolGraduation', 'fredup:HighSchool', 'associatedWith')
('fredup:HighSchoolGraduationRate', 'fredup:HighSchool', 'associatedWith')
('fredup:HighSchoolGraduationRate', 'fredup:HighSchoolGraduation', 'associatedWith')
('db:Carbon_dioxide', 'fredup:Carbon', 'associatedWith')
('fredup:StaffRisk', 'fredup:Staff', 'associatedWith')
('fredup:FakeNewsAward', 'fredup:News', 'associatedWith')
('fredup:ActuallyHave', 'fredup:Actually', 'hasQuality')
('fredup:HousingCrisis', 'fredup:Housing', 'associatedWith')
('fredup:NationHighestHomelessnessRate', 'fredup:Nation', 'associatedWith')
('fredup:NationHighestHomelessnessRate', 'fredup:Homeless', 'hasQuality')
('fredup:NationHighestHomelessnessRate', 'fredup:Highest', 'hasQuality')
('fredup:YearLow', 'fredup:Year', 'associatedWith')
('fredup:MostCriticalArea', 'fredup:Critical', 'hasQuality')
('fredup:MostCriticalArea', 'fredup:Most', 'hasQuality')
('db:Health_insurance_in_the_United_States', 'fredup:Health', 'associatedWith')
('fredup:Congress', 'fredup:Re', 'associatedWith')
('fredup:DeathSquad', 'fredup:Death', 'associatedWith')
('fredup:InvestigationElliottabram', 'fredup:Investigation', 'associatedWith')
('fredup:PremiumIncrease', 'fredup:Premium', 'associatedWith')
('fredup:RaceSnowmobile', 'fredup:Race', 'associatedWith')
('fredup:StillAllow', 'fredup:Still', 'hasQuality')
('fredup:ElementarySchool', 'fredup:Elementary', 'hasQuality')
('fredup:TaxIncrease', 'fredup:Tax', 'associatedWith')
('fredup:AutoTheft', 'fredup:Auto', 'associatedWith')
('fredup:AboutDollar', 'fredup:About', 'hasQuality')
('fredup:IllegalImmigrant', 'fredup:Illegal', 'hasQuality')
('fredup:ActuallyKill', 'fredup:Actually', 'hasQuality')
('fredup:JustA', 'fredup:Just', 'hasQuality')
('fredup:TaxIncrease', 'fredup:Tax', 'associatedWith')
('fredup:LargestTaxReduction', 'fredup:Tax', 'associatedWith')
('fredup:StillReceive', 'fredup:Still', 'hasQuality')
('fredup:DramaticBudgetCut', 'fredup:Budget', 'associatedWith')
('fredup:GrosslyOverrepresent', 'fredup:Grossly', 'hasQuality')
('fredup:AfricanAmerican', 'fredup:African', 'hasQuality')
('db:Death_row', 'fredup:Death', 'associatedWith')
('fredup:LotLessTax', 'fredup:Lot', 'associatedWith')
('fredup:SmallCarProduction', 'fredup:SmallCar', 'associatedWith')
('fredup:ManufacturingJob', 'fredup:Manufacturing', 'associatedWith')
('db:Attorney_general', 'fredup:Attorney', 'associatedWith')
('fredup:GovernmentJet', 'fredup:Government', 'associatedWith')
('fredup:NominationHundred', 'fredup:Nomination', 'associatedWith')
('fredup:AveragePremiumHike', 'fredup:AveragePremium', 'associatedWith')
('fredup:ReallySeriousEffort', 'fredup:Serious', 'hasQuality')
('fredup:ReallySeriousEffort', 'fredup:Really', 'hasQuality')
('fredup:AmericanProduct', 'fredup:American', 'hasQuality')
('fredup:TemporaryForeignWorker', 'fredup:Foreign', 'hasQuality')
('fredup:TemporaryForeignWorker', 'fredup:Temporary', 'hasQuality')
('fredup:ChildCare', 'fredup:Child', 'associatedWith')
('fredup:OverDollar', 'fredup:Over', 'hasQuality')
('fredup:VeryHighApprovalRating', 'fredup:VeryHighApproval', 'associatedWith')
('fredup:CollegeFunding', 'fredup:College', 'associatedWith')
('fredup:TaxReturn', 'fredup:Tax', 'associatedWith')
('fredup:PrivateCollege', 'fredup:Private', 'hasQuality')
('db:Lobster_trap', 'fredup:Lobster', 'associatedWith')
('fredup:SoBasicallySpringBreak', 'fredup:SoBasicallySpring', 'associatedWith')
('fredup:SmallerFederalPrisonPopulation', 'fredup:SmallerFederalPrison', 'associatedWith')
('fredup:EmergencyReserve', 'fredup:Emergency', 'associatedWith')
('fredup:EverHit', 'fredup:Ever', 'hasQuality')
('fredup:NewSafetyStandard', 'fredup:Safety', 'associatedWith')
('fredup:NewArea', 'fredup:New', 'hasQuality')
('fredup:ManufacturingJob', 'fredup:Manufacturing', 'associatedWith')
('fredup:NearlyTen', 'fredup:Nearly', 'hasQuality')
('fredup:CoalMiningJob', 'fredup:Coal', 'associatedWith')
('db:Coal_mining', 'fredup:Coal', 'associatedWith')
('fredup:FourthGradeLeader', 'fredup:Grade', 'associatedWith')
('fredup:EighthGradeLeader', 'fredup:Grade', 'associatedWith')
('fredup:MathGain', 'fredup:Math', 'associatedWith')
('fredup:MassiveTaxBreak', 'fredup:Tax', 'associatedWith')
('fredup:RecruitingTool', 'fredup:Recruiting', 'associatedWith')
('fredup:RoutinelyDeny', 'fredup:Routinely', 'hasQuality')
('fredup:MoreCounty', 'fredup:More', 'hasQuality')
('fredup:SouthernBorder', 'fredup:Southern', 'hasQuality')
('fredup:TaxCut', 'fredup:Tax', 'associatedWith')
('fredup:TooDollar', 'fredup:Too', 'hasQuality')
('fredup:VerySimilarView', 'fredup:Similar', 'hasQuality')
('fredup:VerySimilarView', 'fredup:Very', 'hasQuality')
('fredup:NationalSecurityExpertise', 'fredup:NationalSecurity', 'associatedWith')
('fredup:GraduationRate', 'fredup:Graduation', 'associatedWith')
('fredup:ActuallyPropose', 'fredup:Actually', 'hasQuality')
('fredup:HospitalPrescriptionDrug', 'fredup:Hospital', 'associatedWith')
