,tfcg1,ffcg1,ufcg1,tfcg2,ffcg2,ufcg2,tfcg3,ffcg3,ufcg3,tfcg_co,ffcg_co,ufcg_co,tfcg_bbdf,ffcg_bbdf,ufcg_bbdf,tfcg_bbdc,ffcg_bbdc,ufcg_bbdc,tfcg_lgccf,ffcg_lgccf,ufcg_lgccf,tfcg_lgccc,ffcg_lgccc,ufcg_lgccc,tfcg_old,ffcg_old,ufcg_old
Number of Nodes,10160.0,24307.0,29940.0,9389.0,22055.0,28358.0,9644.0,22800.0,28735.0,2280.0,5519.0,6556.0,4775.0,8480.0,9633.0,1170.0,2033.0,2096.0,9593.0,25211.0,30487.0,1720.0,4983.0,5936.0,9540.0,23369.0,28695.0
Number of Entities,1467.0,3499.0,4340.0,1293.0,3017.0,3987.0,1368.0,3219.0,4143.0,2280.0,5519.0,6556.0,1289.0,1951.0,2047.0,1170.0,2033.0,2096.0,2118.0,5289.0,6294.0,1720.0,4983.0,5936.0,2143.0,5168.0,6189.0
Number of Edges,22163.0,67512.0,86720.0,22200.0,66319.0,87579.0,22223.0,68505.0,88911.0,5533.0,18881.0,23792.0,14578.0,40574.0,50494.0,3237.0,10863.0,13536.0,22152.0,69218.0,88064.0,4924.0,18391.0,23255.0,24261.0,75260.0,96179.0
Number of Connected Components,42.0,135.0,154.0,35.0,117.0,136.0,37.0,123.0,140.0,192.0,204.0,242.0,2.0,1.0,1.0,51.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,23.0,25.0
Largest Component Nodes,10063.0,24009.0,29603.0,9315.0,21804.0,28066.0,9566.0,22530.0,28430.0,1720.0,4983.0,5936.0,4772.0,8480.0,9633.0,1029.0,2022.0,2093.0,9593.0,25211.0,30487.0,1720.0,4983.0,5936.0,9522.0,23322.0,28641.0
Largest Component Entities,1446.0,3460.0,4298.0,1281.0,2995.0,3963.0,1354.0,3193.0,4116.0,1720.0,4983.0,5936.0,1287.0,1951.0,2047.0,1029.0,2022.0,2093.0,2118.0,5289.0,6294.0,1720.0,4983.0,5936.0,2141.0,5164.0,6185.0
Largest Component Edges,22107.0,67348.0,86536.0,22160.0,66184.0,87422.0,22181.0,68357.0,88745.0,4924.0,18391.0,23255.0,14576.0,40574.0,50494.0,3118.0,10857.0,13534.0,22152.0,69218.0,88064.0,4924.0,18391.0,23255.0,24251.0,75235.0,96149.0
Average Degree,4.362795275590552,5.554943020529065,5.792919171676687,4.728938119075513,6.013965087281796,6.176669722829537,4.608668602239733,6.0092105263157904,6.188341743518357,4.853508771929825,6.8421815546294615,7.258084197681513,6.105968586387434,9.56933962264151,10.483546143465173,5.533333333333332,10.686669945892769,12.916030534351144,4.6183675596789335,5.491095156875967,5.777150916784202,5.725581395348837,7.381497090106362,7.835242587601077,5.086163522012579,6.4410115965595445,6.7035372016030665
Kappa/Heterogenity Coefficient,17.333399356869865,29.72756666693662,33.858169355332855,14.276275121743364,23.373892988024767,26.033758419743442,15.843962891888713,27.56140588159965,31.59914900538873,4.149217048398859,8.25145798507474,8.863832162280449,17.449960281968288,20.318374928977047,21.118111857674233,3.7276818115836847,5.035029258012446,4.75406620782545,24.154381087736702,28.179422861425085,31.00563023256701,3.8881964429597966,7.84320872350342,8.39368878439664,23.016236391404963,38.84177268029076,45.34212157836125
Average Clustering Coefficient,0.08649962126203073,0.0993686335597095,0.10148310910302552,0.16435395978632686,0.19281281036841932,0.18426256225452306,0.09153047962123292,0.11221198393984748,0.10863598065398733,0.6643290681415084,0.6212810867344534,0.6154632169623604,0.10709955228311104,0.14402977304601525,0.15318752373762698,0.533390763949574,0.4163445689376761,0.3748147258989816,0.08359884959348064,0.09415115382591124,0.09748990151203046,0.6908866495740708,0.6402746162804621,0.6349129914204683,0.12067617155908515,0.14077269747263366,0.14432443552050794
Density,0.00042945125264204657,0.00022854204807574527,0.0001934907368875609,0.0005037215721213798,0.0002726927127632989,0.00021781816563210275,0.0004779289227667463,0.00026357342542724635,0.00021536652549308683,0.002129665981540072,0.0012399749102264335,0.001107259221614266,0.0012790047311243054,0.0011285929499518232,0.001088408029844806,0.004733390362132877,0.00525918796549841,0.006165169706134198,0.00048148118845693633,0.00021781416726997086,0.00018950176857522152,0.00333076288269275,0.0014816332978936895,0.0013201756676665675,0.0005331967210412599,0.00027563384100306163,0.00023362156553994101
Average Shortest Path Length,,,,,,,,,,,,,,3.138853399186002,3.0693997317843937,,,,4.099026261242929,4.238451139184175,4.176015491235919,4.077603934142349,3.8151465283046258,3.7633775151744975,,,
Average Squared Degree,329.92362204724407,917.3151766980707,1136.2094856379424,319.2582809670892,845.3817274994333,993.2203963608152,336.5230194939859,995.2592105263158,1210.107534365756,97.74122807017544,386.2957057437941,466.9447834045149,650.5842931937173,1860.599528301887,2320.9805875635834,114.13333333333334,575.0250860796851,793.0916030534352,515.1964974460544,849.6695093411606,1034.8275658477382,127.4639534883721,427.3489865542846,515.2971698113207,595.4083857442348,1611.414266763661,2037.5575535807632
